TEAM_ID,TEAM_ABBREVIATION,SEASON,SEASON_TYPE,GAMES_PLAYED,WINS,LOSSES,POINTS_SCORED,POINTS_CONCEDED
1610612762,UTA,2018-19,Regular Season,82,50,32,9161,8730
1610612762,UTA,2019-20,Playoffs,7,3,4,794,770
1610612762,UTA,2019-20,Regular Season,72,44,28,8013,7835
1610612762,UTA,2020-21,Playoffs,11,6,5,1286,1295
1610612762,UTA,2020-21,Regular Season,72,52,20,8382,7716
1610612762,UTA,2021-22,Playoffs,6,2,4,594,628
1610612762,UTA,2021-22,Regular Season,82,49,33,9316,8821
1610612763,MEM,2015-16,Playoffs,4,0,4,324,412
1610612763,MEM,2015-16,Regular Season,82,42,40,8126,8310
1610612763,MEM,2016-17,Playoffs,6,2,4,578,628
1610612763,MEM,2016-17,Regular Season,82,43,39,8239,8199
1610612763,MEM,2017-18,Regular Season,82,22,60,8145,8654
1610612763,MEM,2018-19,Regular Season,82,33,49,8490,8703
1610612763,MEM,2019-20,Regular Season,73,34,39,8222,8300
1610612763,MEM,2020-21,Playoffs,5,1,4,575,617
1610612763,MEM,2020-21,Regular Season,72,38,34,8157,8083
1610612763,MEM,2021-22,Playoffs,12,6,6,1350,1321
1610612763,MEM,2021-22,Regular Season,82,56,26,9480,9014
1610612764,WAS,2015-16,Regular Season,82,41,41,8534,8575
1610612764,WAS,2016-17,Playoffs,13,7,6,1405,1405
1610612764,WAS,2016-17,Regular Season,82,49,33,8953,8805
1610612764,WAS,2017-18,Playoffs,6,2,4,643,655
1610612764,WAS,2017-18,Regular Season,82,43,39,8742,8694
1610612764,WAS,2018-19,Regular Season,82,32,50,9350,9588
1610612764,WAS,2019-20,Regular Season,72,25,47,8238,8574
1610612764,WAS,2020-21,Playoffs,5,1,4,550,620
1610612764,WAS,2020-21,Regular Season,72,34,38,8398,8530
1610612764,WAS,2021-22,Regular Season,82,35,47,8907,9184
1610612765,DET,2015-16,Playoffs,4,0,4,380,414
1610612765,DET,2015-16,Regular Season,82,44,38,8361,8311
1610612765,DET,2016-17,Regular Season,82,37,45,8309,8401
