Player ID,Full Name,Status
200760,Rodney Carney,Inactivo
76346,Bob Carpenter,Inactivo
156,Antoine Carr,Inactivo
76348,Austin Carr,Inactivo
713,Chris Carr,Inactivo
1757,Cory Carr,Inactivo
76350,Kenny Carr,Inactivo
76351,M.L. Carr,Inactivo
76352,Bob Carrington,Inactivo
201960,DeMarre Carroll,Inactivo
76353,Joe Barry Carroll,Inactivo
2679,Matt Carroll,Inactivo
1131,Jimmy Carruth,Inactivo
1853,Anthony Carter,Inactivo
76355,Butch Carter,Inactivo
76356,Fred Carter,Inactivo
76357,George Carter,Inactivo
76358,Howard Carter,Inactivo
76359,Jake Carter,Inactivo
1628975,Jevon Carter,Activo
2466,Maurice Carter,Inactivo
76360,Reggie Carter,Inactivo
76361,Ron Carter,Inactivo
1713,Vince Carter,Inactivo
1628976,Wendell Carter Jr.,Activo
203487,Michael Carter-Williams,Inactivo
1630618,D.J. Carton,Activo
76362,Bill Cartwright,Inactivo
76363,Jay Carty,Inactivo
1627936,Alex Caruso,Activo
76364,Cornelius Cash,Inactivo
208,Sam Cassell,Inactivo
201956,Omri Casspi,Inactivo
1630658,Colin Castleton,Activo
76365,Harvey Catchings,Inactivo
767,Terry Catledge,Inactivo
76367,Sid Catlett,Inactivo
1509,Kelvin Cato,Inactivo
76368,Bobby Cattage,Inactivo
1626161,Willie Cauley-Stein,Inactivo
1628505,Troy Caupain,Inactivo
190,Duane Causwell,Inactivo
1628463,Tyler Cavanaugh,Inactivo
76370,Ron Cavenall,Inactivo
1629958,Ahmad Caver,Inactivo
1630608,Malcolm Cazalon,Activo
76,Cedric Ceballos,Inactivo
1911,John Celestand,Inactivo
76373,Al Cervi,Inactivo
2763,Lionel Chalmers,Inactivo
201596,Mario Chalmers,Inactivo
76374,Bill Chamberlain,Inactivo
76375,Wilt Chamberlain,Inactivo
76376,Jerry Chambers,Inactivo
1472,Tom Chambers,Inactivo
1630577,Julian Champagnie,Activo
1630551,Justin Champagnie,Activo
76378,Mike Champion,Inactivo
1631113,Kennedy Chandler,Inactivo
2199,Tyson Chandler,Inactivo
201163,Wilson Chandler,Inactivo
76379,Don Chaney,Inactivo
76380,John Chaney,Inactivo
364,Rex Chapman,Inactivo
76382,Len Chappell,Inactivo
76383,Ken Charles,Inactivo
76384,Lorenzo Charles,Inactivo
1629147,Joe Chealey,Inactivo
384,Calbert Cheaney,Inactivo
1629597,Zylan Cheatham,Inactivo
76385,Maurice Cheeks,Inactivo
76386,Phil Chenier,Inactivo
203805,Will Cherry,Inactivo
76387,Derrick Chievous,Inactivo
432,Pete Chilcutt,Inactivo
2735,Josh Childress,Inactivo
719,Randolph Childress,Inactivo
164,Chris Childs,Inactivo
1629185,Chris Chiozza,Inactivo
76391,Leroy Chollet,Inactivo
76392,Jim Chones,Inactivo
1627737,Marquese Chriss,Inactivo
76393,Fred Christ,Inactivo
76394,Cal Christensen,Inactivo
